sex,race,age,partyid,relig,numgiven,close12,close13,close14,close15,close23,close24,close25,close34,close35,close45,sex1,sex2,sex3,sex4,sex5,race1,race2,race3,race4,race5,educ1,educ2,educ3,educ4,educ5,age1,age2,age3,age4,age5,relig1,relig2,relig3,relig4,relig5
male,white,57,strong democrat,moslem/islam,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,other,55,not str democrat,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,45,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,white,35,strong republican,jewish,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,73,not str republican,jewish,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,Bachelors,Bachelors,NA,NA,69,62,60,NA,NA,jewish,jewish,jewish,NA,NA
male,black,68,"ind,near dem",catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,47,not str democrat,NA,3,1,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,0,0,0,NA,NA,0,Bachelors,Grad,NA,NA,47,79,55,NA,NA,NA,NA,NA,NA,NA
female,white,58,strong democrat,jewish,6,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,1,Bachelors,Grad,Grad,Grad,25,57,57,59,57,jewish,jewish,jewish,jewish,jewish
male,white,29,not str democrat,jewish,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,other,55,not str democrat,other,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,1,0,NA,NA,3,3,3,NA,NA,0,Grad,Bachelors,NA,NA,50,24,52,NA,NA,none,none,other,NA,NA
male,white,33,independent,none,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,26,"ind,near dem",none,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,other,30,not str democrat,none,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,37,strong democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,49,not str republican,catholic,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,2,2,NA,NA,NA,0,h.s. grad,NA,NA,NA,47,34,NA,NA,NA,catholic,catholic,NA,NA,NA
male,white,23,"ind,near dem",catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,47,strong democrat,none,3,2,2,NA,NA,1,NA,NA,NA,NA,NA,0,0,1,NA,NA,0,3,3,NA,NA,0,Grad,Grad,NA,NA,55,50,35,NA,NA,protestant,other,NA,NA,NA
female,white,55,"ind,near dem",none,4,2,1,1,NA,1,1,NA,1,NA,NA,0,1,0,0,NA,0,0,0,0,NA,0,Bachelors,Bachelors,Bachelors,NA,54,27,59,58,NA,none,catholic,catholic,catholic,NA
male,white,74,independent,jewish,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,65,NA,NA,NA,NA,catholic,NA,NA,NA,NA
male,white,49,strong republican,protestant,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,Grad,NA,NA,NA,48,72,NA,NA,NA,protestant,protestant,NA,NA,NA
male,white,40,not str republican,catholic,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,Bachelors,NA,NA,NA,77,64,NA,NA,NA,catholic,catholic,NA,NA,NA
female,other,40,strong democrat,other eastern,3,1,1,NA,NA,2,NA,NA,NA,NA,NA,0,1,0,NA,NA,0,0,0,NA,NA,0,Grad,Grad,NA,NA,43,40,41,NA,NA,other,other,none,NA,NA
male,other,55,not str republican,hinduism,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,4,4,NA,NA,NA,0,Grad,NA,NA,NA,NA,45,NA,NA,NA,NA,other,NA,NA,NA
female,white,48,other party,jewish,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,Grad,NA,NA,NA,47,48,NA,NA,NA,jewish,jewish,NA,NA,NA
female,white,57,"ind,near dem",none,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,57,NA,NA,NA,NA,other,NA,NA,NA,NA
female,white,59,not str republican,protestant,4,2,2,2,NA,2,2,NA,2,NA,NA,1,0,1,0,NA,0,0,0,0,NA,1,Grad,Some College,Bachelors,NA,74,42,72,61,NA,catholic,protestant,protestant,protestant,NA
female,black,38,strong democrat,catholic,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,NA,NA,0,Grad,NA,NA,NA,45,48,NA,NA,NA,none,catholic,NA,NA,NA
female,black,33,strong democrat,protestant,3,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,0,NA,NA,0,2,1,NA,NA,1,Bachelors,h.s. grad,NA,NA,34,35,42,NA,NA,protestant,protestant,protestant,NA,NA
female,black,45,not str democrat,protestant,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,Bachelors,NA,NA,NA,37,69,NA,NA,NA,protestant,protestant,NA,NA,NA
female,black,41,not str democrat,protestant,4,2,1,2,NA,0,2,NA,2,NA,NA,1,0,0,1,NA,1,1,1,1,NA,1,Bachelors,Some College,Bachelors,NA,42,45,72,67,NA,protestant,protestant,protestant,protestant,NA
female,other,57,strong democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,66,independent,catholic,5,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Bachelors,Bachelors,Bachelors,NA,58,60,78,83,78,catholic,catholic,catholic,catholic,catholic
female,white,30,"ind,near rep",catholic,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,0,0,1,NA,NA,2,2,2,NA,NA,0,h.s. grad,h.s. grad,NA,NA,39,52,52,NA,NA,catholic,catholic,catholic,NA,NA
male,white,48,"ind,near rep",catholic,6,2,2,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grad,h.s. grad,h.s. grad,Grad,46,47,61,46,55,catholic,catholic,catholic,catholic,catholic
male,other,32,not str republican,none,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,other,33,not str democrat,hinduism,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,29,NA,NA,NA,NA,other,NA,NA,NA,NA
female,white,69,strong republican,protestant,5,2,2,2,1,2,2,1,2,1,1,1,0,0,0,0,0,0,0,3,0,1,Some College,Bachelors,Grad,Grad,41,68,43,45,45,protestant,protestant,protestant,catholic,NA
male,other,31,independent,hinduism,6,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,3,0,0,0,0,1,Bachelors,Bachelors,Bachelors,Bachelors,27,45,45,50,38,other,catholic,catholic,NA,NA
male,other,31,not str democrat,hinduism,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,1,NA,NA,3,3,3,NA,NA,0,Grad,Bachelors,NA,NA,33,28,32,NA,NA,other,other,other,NA,NA
female,white,45,not str republican,catholic,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,Bachelors,NA,NA,NA,43,45,NA,NA,NA,catholic,catholic,NA,NA,NA
female,white,79,not str republican,catholic,3,2,1,NA,NA,2,NA,NA,NA,NA,NA,1,0,1,NA,NA,0,0,0,NA,NA,1,h.s. grad,h.s. grad,NA,NA,78,81,79,NA,NA,protestant,protestant,catholic,NA,NA
female,white,18,independent,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,25,NA,NA,NA,NA,catholic,NA,NA,NA,NA
male,white,63,"ind,near dem",protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,37,"ind,near rep",catholic,6,2,1,1,1,1,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,Some College,Some College,h.s. grad,Some College,35,35,37,37,27,catholic,other,catholic,catholic,protestant
female,other,33,strong democrat,moslem/islam,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,50,"ind,near dem",catholic,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,1,1,NA,NA,0,0,0,NA,NA,0,Bachelors,Bachelors,NA,NA,53,56,54,NA,NA,catholic,catholic,catholic,NA,NA
female,other,57,strong republican,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,60,not str democrat,catholic,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,Bachelors,h.s. grad,NA,NA,65,57,55,NA,NA,catholic,catholic,catholic,NA,NA
female,white,74,not str democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,34,independent,catholic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,Grad,NA,NA,NA,34,34,NA,NA,NA,protestant,catholic,NA,NA,NA
male,white,60,strong republican,catholic,4,0,1,0,NA,1,1,NA,1,NA,NA,0,0,0,0,NA,0,0,0,1,NA,0,Grad,Grad,Grad,NA,62,50,55,45,NA,protestant,protestant,catholic,catholic,NA
male,white,35,"ind,near dem",none,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4,NA,NA,NA,NA,0,NA,NA,NA,NA,30,NA,NA,NA,NA,other,NA,NA,NA,NA
male,white,35,strong republican,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,47,not str democrat,catholic,4,0,0,0,NA,2,2,NA,2,NA,NA,1,1,0,1,NA,0,0,0,0,NA,1,Bachelors,Grad,Grad,NA,25,69,45,44,NA,catholic,catholic,catholic,catholic,NA
male,white,62,strong republican,catholic,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,0,1,NA,NA,0,0,0,NA,NA,1,Some College,h.s. grad,NA,NA,62,64,62,NA,NA,catholic,catholic,catholic,NA,NA
male,white,61,not str democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,56,strong democrat,orthodox-christian,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,0,1,0,NA,NA,0,0,0,NA,NA,0,Grad,Bachelors,NA,NA,67,33,33,NA,NA,other,other,other,NA,NA
male,white,19,not str democrat,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,Some College,NA,NA,NA,21,21,NA,NA,NA,protestant,protestant,NA,NA,NA
male,white,55,not str republican,catholic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,Some College,NA,NA,NA,49,23,NA,NA,NA,catholic,catholic,NA,NA,NA
female,white,32,strong democrat,catholic,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,Grad,NA,NA,NA,32,31,NA,NA,NA,other,catholic,NA,NA,NA
male,white,50,not str democrat,none,4,2,1,1,NA,1,1,NA,2,NA,NA,1,0,1,1,NA,0,0,0,0,NA,1,Grad,Less than high school,h.s. grad,NA,70,80,45,43,NA,catholic,catholic,none,none,NA
female,white,24,not str republican,protestant,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,1,NA,NA,NA,0,h.s. grad,NA,NA,NA,58,32,NA,NA,NA,catholic,protestant,NA,NA,NA
female,white,50,independent,none,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,65,NA,NA,NA,NA,catholic,NA,NA,NA,NA
female,white,55,independent,none,4,1,1,1,NA,1,2,NA,0,NA,NA,1,1,0,0,NA,0,0,0,0,NA,1,h.s. grad,Some College,Grad,NA,86,62,56,63,NA,protestant,catholic,NA,catholic,NA
male,white,49,strong republican,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,28,not str democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,black,61,not str republican,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,51,NA,NA,NA,NA,catholic,NA,NA,NA,NA
female,white,35,not str republican,catholic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,h.s. grad,NA,NA,NA,35,35,NA,NA,NA,jewish,catholic,NA,NA,NA
male,white,32,"ind,near rep",catholic,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,Bachelors,NA,NA,NA,31,34,NA,NA,NA,catholic,catholic,NA,NA,NA
male,white,58,independent,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,59,NA,NA,NA,NA,catholic,NA,NA,NA,NA
male,white,33,strong republican,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,33,NA,NA,NA,NA,catholic,NA,NA,NA,NA
male,white,58,strong republican,protestant,4,1,1,0,NA,0,0,NA,0,NA,NA,1,1,0,0,NA,0,0,0,0,NA,1,Less than high school,Less than high school,Less than high school,NA,53,46,52,66,NA,catholic,protestant,protestant,protestant,NA
male,white,33,not str democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,25,"ind,near rep",christian,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,1,Some College,NA,NA,NA,NA,20,NA,NA,NA,catholic,other,NA,NA,NA
female,white,NA,not str democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,67,strong republican,protestant,6,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,2,0,Grad,Some College,Bachelors,h.s. grad,46,43,42,65,44,protestant,protestant,protestant,catholic,catholic
female,white,31,not str republican,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,74,strong republican,none,6,2,2,2,1,0,2,1,0,1,2,1,1,0,1,0,0,0,0,0,0,1,Bachelors,Bachelors,Some College,Grad,75,49,47,78,76,protestant,other,NA,NA,NA
female,black,38,"ind,near dem",protestant,5,2,2,1,1,2,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,h.s. grad,h.s. grad,h.s. grad,h.s. grad,34,58,55,42,47,protestant,protestant,protestant,protestant,protestant
male,white,69,independent,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,other,35,not str democrat,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,37,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,other,59,strong democrat,protestant,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,4,2,NA,NA,NA,0,h.s. grad,NA,NA,NA,39,35,NA,NA,NA,other,other,NA,NA,NA
male,white,76,strong republican,protestant,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,h.s. grad,NA,NA,NA,74,64,NA,NA,NA,catholic,protestant,NA,NA,NA
male,white,NA,strong republican,none,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,79,strong republican,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,47,strong republican,other,4,1,2,2,NA,0,0,NA,2,NA,NA,1,0,1,0,NA,3,0,0,0,NA,1,Bachelors,Grad,Less than high school,NA,43,40,70,17,NA,other,catholic,other,other,NA
male,white,62,strong republican,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,30,independent,none,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,Some College,NA,NA,NA,53,50,NA,NA,NA,none,protestant,NA,NA,NA
female,white,64,strong republican,protestant,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,0,1,0,NA,NA,0,0,0,NA,NA,0,Some College,Bachelors,NA,NA,36,38,67,NA,NA,protestant,protestant,catholic,NA,NA
male,white,18,strong republican,none,3,0,2,NA,NA,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,0,0,0,NA,NA,0,h.s. grad,Bachelors,NA,NA,45,18,46,NA,NA,none,jewish,protestant,NA,NA
male,white,64,strong democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,other,38,not str democrat,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,40,NA,NA,NA,NA,jewish,NA,NA,NA,NA
male,white,49,not str democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,28,not str republican,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,other,24,"ind,near dem",none,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,24,strong democrat,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,52,NA,NA,NA,NA,catholic,NA,NA,NA,NA
male,other,28,"ind,near dem",protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4,NA,NA,NA,NA,0,NA,NA,NA,NA,28,NA,NA,NA,NA,catholic,NA,NA,NA,NA
male,other,51,independent,other eastern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,other,30,independent,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,30,NA,NA,NA,NA,none,NA,NA,NA,NA
female,white,44,strong democrat,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,20,NA,NA,NA,NA,catholic,NA,NA,NA,NA
female,white,34,not str democrat,none,5,2,1,1,1,1,2,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,Bachelors,Grad,Grad,Grad,32,32,38,33,30,protestant,protestant,catholic,protestant,protestant
male,white,31,not str republican,christian,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,Some College,NA,NA,NA,35,59,NA,NA,NA,other,NA,NA,NA,NA
male,other,55,independent,NA,4,0,1,1,NA,0,2,NA,1,NA,NA,1,1,0,1,NA,2,2,0,2,NA,1,Grad,Bachelors,h.s. grad,NA,51,51,54,74,NA,NA,NA,NA,other,NA
